shipment number,tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc,data_flag,hit_or_miss
71243909,Y,N,0,0,NULL,I,NTC,IRIO,N,Non-Primary,80,V,V-00044700 To SP-CF,US-IL-60654,US-IL-61006,DRY MIDWEST,D,D,May,train,0
71578064,Y,N,0,0,Retail,O,TC,TJIS,N,Non-Primary,40,C,0011902422 To SP-M8,US-FL-32234,US-GA-30253,TEMP EAST,F,F,Apr,train,0
71807692,N,N,0,0,Intercomp/Interplnt,O,NTC,AENM,N,Non-Primary,40,I,SP-CA To SP-CI,US-IL-60446,US-OH-45241,DRY MIDWEST,D,D,Apr,train,0
71827441,N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-7014 To SP-P9,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71832534,N,B,0,0,NULL,I,NTC,BHHL,B,Broadcast,40,V,V-00509429 To SP-RB,US-MI-49007,US-MI-49512,DRY NORTHEAST,D,D,May,train,0
71836803,Y,N,0,0,NULL,I,NTC,UAFL,N,Non-Primary,41,V,V-00509125 To SP-MR,US-MO-63106,US-OH-43314,DRY NORTHEAST,D,D,Apr,train,0
71854067,N,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-CO To SP-X7,US-GA-30161,US-PA-17057,DRY SOUTHEAST,D,D,Apr,train,0
71864553,N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-7014 To SP-P9,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71864554,N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-7014 To SP-P8,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71871741,N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-7014 To SP-P8,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71876518,N,N,0,0,Intercomp/Interplnt,O,NTC,LROI,N,Non-Primary,60,V,SP-BU To SP-7192,US-NY-14203,US-IL-61008,DRY NORTHEAST,D,D,Apr,train,0
71876779,N,N,100,100,Intercomp/Interplnt,O,NTC,FLSZ,N,Non-Primary,40,V,SP-CO To SP-WL,US-GA-30161,US-IL-60481,DRY SOUTHEAST,D,D,Apr,train,0
71883839,N,N,0,0,Retail,O,TC,VOMK,N,Non-Primary,40,C,SP-WN To 0060052596,CA-MB-R3T 1,CA-BC-V4W 1,CANADA,F,F,Apr,train,0
71884042,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,I,SP-CE To SP-P9,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71884140,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-X7,US-GA-30014,US-PA-17057,DRY SOUTHEAST,D,D,Apr,train,0
71884141,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-V4,US-GA-30014,US-TX-76010,DRY SOUTHEAST,D,D,Apr,train,0
71884162,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-WL,US-GA-30014,US-IL-60481,DRY SOUTHEAST,D,D,Apr,train,0
71884193,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-V4,US-GA-30014,US-TX-76010,DRY SOUTHEAST,D,D,Apr,train,0
71884229,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-WL,US-GA-30014,US-IL-60481,DRY SOUTHEAST,D,D,Apr,train,0
71884235,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,I,SP-CE To SP-P8,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71884267,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-WL,US-GA-30014,US-IL-60481,DRY SOUTHEAST,D,D,Apr,train,0
71884269,N,N,0,0,Intercomp/Interplnt,O,NTC,FLSZ,N,Non-Primary,40,V,SP-CE To SP-FE,US-GA-30014,US-IN-46809,DRY SOUTHEAST,D,D,Apr,train,0
71884350,N,N,0,0,Intercomp/Interplnt,O,NTC,YQCC,N,Non-Primary,40,V,SP-CE To SP-SG,US-GA-30014,US-GA-30025,DRY SOUTHEAST,D,D,Apr,train,0
71884353,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-P8,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71886558,N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-7014 To SP-P8,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71887036,N,N,0,0,Intercomp/Interplnt,O,NTC,GMDR,N,Non-Primary,40,V,SP-7014 To SP-P8,US-MN-55021,US-PA-17078,DRY MIDWEST,D,D,Apr,train,0
71890062,N,N,0,0,Intercomp/Interplnt,O,NTC,BUXU,N,Non-Primary,40,I,SP-7X To SP-CC,US-IA-50208,US-IA-52233,DRY MIDWEST,D,D,Apr,train,0
71890732,N,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-CE To SP-GB,US-GA-30014,US-IL-61401,DRY SOUTHEAST,D,D,Apr,train,0
71890733,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,I,SP-CE To SP-P8,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71890738,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-P9,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71890873,N,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-CE To SP-GB,US-GA-30014,US-IL-61401,DRY SOUTHEAST,D,D,Apr,train,0
71890911,N,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-CE To SP-GB,US-GA-30014,US-IL-61401,DRY SOUTHEAST,D,D,Apr,train,0
71891057,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-UQ,US-GA-30014,US-CA-95215,DRY SOUTHEAST,D,D,Apr,train,0
71892038,N,N,0,0,Intercomp/Interplnt,O,NTC,NEPH,N,Non-Primary,40,V,SP-CE To SP-GB,US-GA-30014,US-IL-61401,DRY SOUTHEAST,D,D,Apr,train,0
71892088,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-FE,US-GA-30014,US-IN-46809,DRY SOUTHEAST,D,D,Apr,train,0
71892157,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CE To SP-FE,US-GA-30014,US-IN-46809,DRY SOUTHEAST,D,D,Apr,train,0
71892204,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-P9,US-GA-30014,US-PA-17078,DRY SOUTHEAST,D,D,Apr,train,0
71892207,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-FE,US-GA-30014,US-IN-46809,DRY SOUTHEAST,D,D,Apr,train,0
71892213,N,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-CW To SP-UQ,US-GA-30014,US-CA-95215,DRY SOUTHEAST,D,D,Apr,train,0
71892430,N,N,0,0,NULL,I,NTC,YFVO,N,Non-Primary,40,V,V-00512815 To SP-RC,US-TN-37914,US-MI-49677,DRY NORTHEAST,D,D,Apr,train,0
71892951,N,B,0,0,Intercomp/Interplnt,O,NTC,BHHL,B,Broadcast,40,V,SP-7271 To SP-CR,US-MI-49512,US-IA-52404,TEMP WEST,PH,R,May,train,0
71895363,N,N,0,0,NULL,I,TC,UAFL,N,Non-Primary,41,V,V-00503256 To SP-7030,US-CA-95811,US-TN-37210,DRY SOUTHEAST,D,D,Apr,train,0
