tndr_first_tender_fg,tndr_carrier_type_cd,award_target_share_percent,tndr_target_share_percent,distribution_channel_desc,shp_type_indicator_fg,transport_group_cd,award_carrier_cd,carrier_type_cd,carrier_type_desc,shipping_condition_cd,preceding_document_category_cd,transport_lane,source_zip_cd,destination_zip_cd,transport_region,temp_condition_cd,temp_channel_cd,fiscal_month_desc
Y,N,0,0,NULL,I,TC,UAFL,N,Non-Primary,41,V,V-00501879 To SP-JF,US-IL-60410,US-MN-55427,TEMP WEST,PF,R,Apr
N,N,0,0,NULL,I,NTC,UAFL,N,Non-Primary,43,V,V-00515056 To SP-HY,US-IA-51031,US-OH-45858,DRY NORTHEAST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-KA,US-MI-49677,US-MI-49048,TEMP WEST,R,R,Apr
Y,P,100,100,Retail,O,TC,TJIS,P,Primary,40,C,SP-RJ To 0060024946,US-TN-37127,US-IL-60450,TEMP EAST,R,R,Apr
Y,P,100,100,Food Service,O,TC,QXWP,P,Primary,40,C,SP-X8 To 0048008178,US-MO-64836,US-TN-37771,TEMP WEST,F,F,Apr
Y,P,100,100,NULL,I,NTC,UAFL,P,Primary,41,V,V-00509105 To SP-MM,US-IL-60411,US-IL-60538,DRY MIDWEST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,KMYV,P,Primary,40,V,SP-KC To SP-4S,US-MO-64120,US-KS-66021,DRY WEST,D,D,Apr
Y,P,100,100,Retail,O,NTC,UVJX,P,Primary,40,C,SP-P9 To 0060032363,US-PA-17078,US-VA-22942,DRY NORTHEAST,D,D,Apr
Y,P,50,50,Intercomp/Interplnt,O,NTC,EZXA,P,Primary,60,V,SP-BV To SP-DC,US-IL-61008,US-CA-92571,DRY MIDWEST,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,BPNK,N,Non-Primary,60,V,SP-EH To SP-DC,MX-GT-36680,US-CA-92571,MEXICO,D,D,Apr
Y,N,0,0,Intercomp/Interplnt,O,NTC,WREC,N,Non-Primary,40,V,SP-KC To SP-WL,US-MO-64120,US-IL-60481,DRY WEST,D,D,Apr
Y,N,0,0,NULL,I,NTC,ZPEC,N,Non-Primary,40,V,V-00509064 To SP-HN,US-IN-47905,US-MO-63401,DRY SOUTHEAST,D,D,Apr
Y,P,100,100,Retail,O,TC,KIPZ,P,Primary,40,C,SP-WN To 0016518100,CA-MB-R3T 1,CA-MB-R2X 2,CANADA,F,F,Apr
Y,P,100,100,Food Service,O,NTCB,GSQV,P,Primary,40,C,SP-VN To 0021429800,US-CA-90058,US-CA-90745,DRY WEST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,TC,TJIS,P,Primary,40,V,SP-RC To SP-A9,US-MI-49677,US-PA-18106,TEMP WEST,R,R,Apr
N,P,33,33,Intercomp/Interplnt,O,NTC,VQVH,P,Primary,40,I,SP-7003 To SP-WL,US-MI-49512,US-IL-60481,DRY NORTHEAST,D,D,Apr
Y,P,100,100,Intercomp/Interplnt,O,NTC,LROI,P,Primary,60,I,SP-CA To SP-RO,US-IL-60446,US-TX-76262,DRY MIDWEST,D,D,Apr
Y,P,100,100,Food Service,O,NTC,URXX,P,Primary,40,C,SP-DC To 0021355400,US-CA-92571,US-OR-97070,DRY WEST,D,D,Apr
Y,P,100,100,Retail,O,NTC,FLSZ,P,Primary,40,C,SP-SG To 0060024273,US-GA-30025,US-LA-70455,DRY SOUTHEAST,D,D,Apr
Y,N,80,80,Intercomp/Interplnt,O,NTC,MMQA,N,Non-Primary,40,V,SP-B8 To SP-ET,US-MN-55418,CA-ON-L6Y 5,DRY MIDWEST,D,D,Apr
